evidence_id,title,source_url,local_path,source_tier,content_type,evidence_layer,visual_category,channel,era_or_date,captured_at,market,language,creator_or_agency,relevance,reliability,rights_notes,status,related_ids,inclusion_reason,notes
EV-011,Classic Collection family tile,https://lelabo.ips.photos/lelabo-java/images/content/603_IMG_600_IMAGE_01_7824_93178760.jpg,evidence/visuals/EV-LL-008-classic-collection-tile.jpg,primary,image_candidate,product-representation,product-family-selection-gesture,official About page,current,2026-08-24,Global,English,Le Labo,Family representation and hand interaction,Direct first-party asset,Research use only; copyrighted,included,EV-002,Product representation evidence,Styled image
EV-012,Discovery Set package,https://lelabo.ips.photos/lelabo-java/images/skus/J2B001R000__PRODUCT_08--IMG_1200--DISCOVERYSET--2781293.jpg,evidence/visuals/EV-LL-010-discovery-set-product.jpg,primary,image_candidate,packaging-and-unboxing|product-native-visual-and-cognitive-language,neutral-packaging-view,official catalog,current,2026-08-24,United States,English,Le Labo,Kraft box label and sampling structure,Direct first-party asset,Research use only; copyrighted,included,EV-003|EV-004,Product-native and packaging evidence,Interior sequence not shown
EV-013,SANTAL 33 50 ml neutral PDP,https://lelabo.ips.photos/lelabo-java/images/skus/050PS33100__PRODUCT_01--IMG_1200--SANTAL33-200129705.jpg,evidence/visual-expansion/product-packaging/EV-PP-01-santal33-50ml-neutral.jpg,primary,image_candidate,product-representation,neutral-pdp-primary,"official product, personalization, or discovery page",current,2026-08-24,United States,visual / English source,Le Labo official product catalog / official CDN,Supplemental visual evidence for neutral-pdp-primary,Direct official or official parent/editorial asset with verified local hash,Research reference only; copyrighted by Le Labo or its licensors; no redistribution license inferred.,included,EV-PP-01,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lelabofragrances.com/santal-33-147.html?size=50ml
EV-014,SANTAL 33 500 ml format,https://lelabo.ips.photos/lelabo-java/images/skus/500PS33100__PRODUCT_01--IMG_1200--SANTAL33-1901642987.jpg,evidence/visual-expansion/product-packaging/EV-PP-02-santal33-500ml-format.jpg,primary,image_candidate,product-native-form,size-and-container-variant,"official product, personalization, or discovery page",current,2026-08-24,United States,visual / English source,Le Labo official product catalog / official CDN,Supplemental visual evidence for size-and-container-variant,Direct official or official parent/editorial asset with verified local hash,Research reference only; copyrighted by Le Labo or its licensors; no redistribution license inferred.,included,EV-PP-02,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lelabofragrances.com/santal-33-147.html?size=50ml
EV-015,SANTAL 33 15 ml discovery size,https://lelabo.ips.photos/lelabo-java/images/skus/015PS33100__PRODUCT_01--IMG_1200--SANTAL33--2048295810.jpg,evidence/visual-expansion/product-packaging/EV-PP-03-santal33-15ml-sample.jpg,primary,image_candidate,product-native-form,discovery-size-variant,"official product, personalization, or discovery page",current,2026-08-24,United States,visual / English source,Le Labo official product catalog / official CDN,Supplemental visual evidence for discovery-size-variant,Direct official or official parent/editorial asset with verified local hash,Research reference only; copyrighted by Le Labo or its licensors; no redistribution license inferred.,included,EV-PP-03,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lelabofragrances.com/santal-33-147.html?size=50ml
EV-016,Personalized label application,https://lelabo.ips.photos/lelabo-java/images/cms/524_LARGE_IMAGE_01_13170_-879790025.jpg,evidence/visual-expansion/product-packaging/EV-PP-04-personalized-label-hands.jpg,primary,image_candidate,packaging-and-service-ceremony,personalized-label-process,"official product, personalization, or discovery page",current,2026-08-24,United States,visual / English source,Le Labo official Personalization page / official CDN,Supplemental visual evidence for personalized-label-process,Direct official or official parent/editorial asset with verified local hash,Research reference only; copyrighted by Le Labo or its licensors; no redistribution license inferred.,included,EV-PP-04,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lelabofragrances.com/personalization.html
EV-017,Classic Collection discovery set open box,https://lelabo.ips.photos/lelabo-java/images/skus/J40X01R000__PRODUCT_01--IMG_1200--DISCOVERYSET--1016611150.jpg,evidence/visual-expansion/product-packaging/EV-PP-05-discovery-open-box.jpg,primary,image_candidate,packaging-and-unboxing,discovery-unboxing-and-internal-organization,"official product, personalization, or discovery page",current,2026-08-24,United States,visual / English source,Le Labo official product catalog / official CDN,Supplemental visual evidence for discovery-unboxing-and-internal-organization,Direct official or official parent/editorial asset with verified local hash,Research reference only; copyrighted by Le Labo or its licensors; no redistribution license inferred.,included,EV-PP-05,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lelabofragrances.com/discovery-sets/classic-collection/discovery-set/17-8.html
EV-018,SANTAL 26 classic candle neutral PDP,https://lelabo.ips.photos/lelabo-java/images/skus/CNDCS26100__PRODUCT_01--IMG_1200--SANTAL26--886638108.jpg,evidence/visual-expansion/product-packaging/EV-PP-06-santal26-candle-neutral.jpg,primary,image_candidate,product-native-form,home-format-neutral-pdp,"official product, personalization, or discovery page",current,2026-08-24,United States,visual / English source,Le Labo official product catalog / official CDN,Supplemental visual evidence for home-format-neutral-pdp,Direct official or official parent/editorial asset with verified local hash,Research reference only; copyrighted by Le Labo or its licensors; no redistribution license inferred.,included,EV-PP-06,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lelabofragrances.com/santal-26-33.html
EV-019,SANTAL 26 candle label detail,https://lelabo.ips.photos/lelabo-java/images/skus/CNDCS26100__PRODUCT_07--IMG_1200--SANTAL26-1621790330.jpg,evidence/visual-expansion/product-packaging/EV-PP-07-santal26-candle-detail.jpg,primary,image_candidate,product-detail-and-service-ceremony,label-material-and-application-detail,"official product, personalization, or discovery page",current,2026-08-24,United States,visual / English source,Le Labo official product catalog / official CDN,Supplemental visual evidence for label-material-and-application-detail,Direct official or official parent/editorial asset with verified local hash,Research reference only; copyrighted by Le Labo or its licensors; no redistribution license inferred.,included,EV-PP-07,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lelabofragrances.com/santal-26-33.html
EV-020,Hinoki shower gel 250 ml,https://lelabo.ips.photos/lelabo-java/images/skus/P016250100__PRODUCT_01--IMG_1200--SHOWERGEL--1883409868.jpg,evidence/visual-expansion/product-packaging/EV-PP-08-hinoki-shower-gel.jpg,primary,image_candidate,product-native-form,body-format-bottle,"official product, personalization, or discovery page",current,2026-08-24,United States,visual / English source,Le Labo official product catalog / official CDN,Supplemental visual evidence for body-format-bottle,Direct official or official parent/editorial asset with verified local hash,Research reference only; copyrighted by Le Labo or its licensors; no redistribution license inferred.,included,EV-PP-08,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lelabofragrances.com/shower-gel-hinoki-429.html?size=250ml
EV-021,Hinoki hand pomade 55 ml,https://lelabo.ips.photos/lelabo-java/images/skus/P015075100__PRODUCT_01--IMG_1200--HANDPOMADE-1457772461.jpg,evidence/visual-expansion/product-packaging/EV-PP-09-hinoki-hand-pomade.jpg,primary,image_candidate,product-native-form,body-format-tube,"official product, personalization, or discovery page",current,2026-08-24,United States,visual / English source,Le Labo official product catalog / official CDN,Supplemental visual evidence for body-format-tube,Direct official or official parent/editorial asset with verified local hash,Research reference only; copyrighted by Le Labo or its licensors; no redistribution license inferred.,included,EV-PP-09,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lelabofragrances.com/hand-pomade-435.html?size=55ml
EV-022,Le Labo laboratory-store interior,https://media.elcompanies.com/images/e/estee-lauder-companies/global/our-brands/le-labo/hero-image-lelabo.jpg,evidence/visual-expansion/space-service/SS-01-parent-brand-hero.jpg,primary,image_candidate,space-and-service,laboratory-store system overview,"official brand, About, or refill service page",current,2026-08-24,Global or United States as stated by source,visual / English source,The Estée Lauder Companies / Le Labo,Supplemental visual evidence for laboratory-store system overview,Direct official or official parent/editorial asset with verified local hash,Official parent-company asset; research use only; copyrighted.,included,SS-01,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.elcompanies.com/en/our-brands/le-labo
EV-023,About-page lab workwall banner,https://lelabo.ips.photos/lelabo-java/images/cms/7_ONE_SIZE_IMAGE_01_7809_344429774.jpg,evidence/visual-expansion/space-service/SS-02-about-lab-banner.jpg,primary,image_candidate,space-and-service,material environment and working inventory,"official brand, About, or refill service page",current,2026-08-24,Global or United States as stated by source,visual / English source,Le Labo official website,Supplemental visual evidence for material environment and working inventory,Direct official or official parent/editorial asset with verified local hash,Official first-party CDN asset; research use only; copyrighted.,included,SS-02,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lelabofragrances.com/about-us.html
EV-024,Fresh formulation / refill pour,https://lelabo.ips.photos/lelabo-java/images/content/1635_ONE_SIZE_IMAGE_01_15414_-14777587.jpg,evidence/visual-expansion/space-service/SS-03-refill-navigation.jpg,primary,image_candidate,space-and-service,"technician action, fresh formulation and personalized object","official brand, About, or refill service page",current,2026-08-24,Global or United States as stated by source,visual / English source,Le Labo official website,"Supplemental visual evidence for technician action, fresh formulation and personalized object",Direct official or official parent/editorial asset with verified local hash,Official first-party CDN asset; research use only; copyrighted.,included,SS-03,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lelabofragrances.com/about-us.html
EV-025,Online refill return — cap bottle,https://s3.amazonaws.com/lelabo-java/images/cms/539_IMG_360_IMAGE_01_15433_-1664222520.png,evidence/visual-expansion/space-service/SS-04-refill-step-1.png,primary,image_candidate,service-behavior,refill ceremony opening action,"official brand, About, or refill service page",current,2026-08-24,Global or United States as stated by source,visual / English source,Le Labo official FAQ,Supplemental visual evidence for refill ceremony opening action,Direct official or official parent/editorial asset with verified local hash,Official first-party service illustration; research use only; copyrighted.,included,SS-04,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lelabofragrances.com/faq/refill-program.html
EV-026,Online refill return — place bottle in platform,https://s3.amazonaws.com/lelabo-java/images/cms/539_IMG_360_IMAGE_03_15435_-1923547518.png,evidence/visual-expansion/space-service/SS-05-refill-step-3.png,primary,image_candidate,service-behavior,object retention and protective packing,"official brand, About, or refill service page",current,2026-08-24,Global or United States as stated by source,visual / English source,Le Labo official FAQ,Supplemental visual evidence for object retention and protective packing,Direct official or official parent/editorial asset with verified local hash,Official first-party service illustration; research use only; copyrighted.,included,SS-05,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lelabofragrances.com/faq/refill-program.html
EV-027,Online refill return — review invoice,https://s3.amazonaws.com/lelabo-java/images/cms/539_IMG_360_IMAGE_05_15437_-164326601.png,evidence/visual-expansion/space-service/SS-06-refill-step-5.png,primary,image_candidate,service-behavior,documentation and identity checkpoint,"official brand, About, or refill service page",current,2026-08-24,Global or United States as stated by source,visual / English source,Le Labo official FAQ,Supplemental visual evidence for documentation and identity checkpoint,Direct official or official parent/editorial asset with verified local hash,Official first-party service illustration; research use only; copyrighted.,included,SS-06,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lelabofragrances.com/faq/refill-program.html
EV-028,Online refill return — place invoice in platform,https://s3.amazonaws.com/lelabo-java/images/cms/539_IMG_360_IMAGE_06_15438_-665847798.png,evidence/visual-expansion/space-service/SS-07-refill-step-6.png,primary,image_candidate,service-behavior,documentation joined to physical object,"official brand, About, or refill service page",current,2026-08-24,Global or United States as stated by source,visual / English source,Le Labo official FAQ,Supplemental visual evidence for documentation joined to physical object,Direct official or official parent/editorial asset with verified local hash,Official first-party service illustration; research use only; copyrighted.,included,SS-07,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lelabofragrances.com/faq/refill-program.html
EV-029,Online refill return — carrier handoff,https://s3.amazonaws.com/lelabo-java/images/cms/539_IMG_360_IMAGE_07_15439_1777631720.png,evidence/visual-expansion/space-service/SS-08-refill-step-7.png,primary,image_candidate,service-behavior,service handoff and circulation,"official brand, About, or refill service page",current,2026-08-24,Global or United States as stated by source,visual / English source,Le Labo official FAQ,Supplemental visual evidence for service handoff and circulation,Direct official or official parent/editorial asset with verified local hash,Official first-party service illustration; research use only; copyrighted.,included,SS-08,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lelabofragrances.com/faq/refill-program.html
EV-030,Films hero motion poster: Williamsburg Bridge and New York skyline,https://lelabo.ips.photos/lelabo-java/images/content/1468_LARGE_IMAGE_01_14557_434606852.jpg,evidence/visual-expansion/editorial-craft/VE-EC-001-films-hero-poster.jpg,primary,image_candidate,key-visual-and-motion,films-landing-motion-poster,"official Films, Souls & Labs, Craftspeople, or Le Journal page",current,2026-08-24,Global; city scope follows source title,visual / English source,Le Labo / official Films page,Supplemental visual evidence for films-landing-motion-poster,Direct official or official parent/editorial asset with verified local hash,First-party copyrighted still; research evidence only.,included,VE-EC-001,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lelabofragrances.com/films.html
EV-031,Souls & Labs: Shanghai storefront motion poster,https://lelabo.ips.photos/lelabo-java/images/content/1294_SMALL_IMAGE_01_14148_1462631425.jpg,evidence/visual-expansion/editorial-craft/VE-EC-002-shanghai-souls-labs.jpg,primary,image_candidate,space-service-and-film,city-lab-exterior-poster,"official Films, Souls & Labs, Craftspeople, or Le Journal page",current,2026-08-24,Global; city scope follows source title,visual / English source,Le Labo / official Films page,Supplemental visual evidence for city-lab-exterior-poster,Direct official or official parent/editorial asset with verified local hash,First-party copyrighted still; research evidence only.,included,VE-EC-002,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lelabofragrances.com/films/shanghai.html
EV-032,Souls & Labs: Chicago storefront motion poster,https://lelabo.ips.photos/lelabo-java/images/content/1298_SMALL_IMAGE_01_13195_2141607551.jpg,evidence/visual-expansion/editorial-craft/VE-EC-003-chicago-souls-labs.jpg,primary,image_candidate,space-service-and-film,city-lab-signage-poster,"official Films, Souls & Labs, Craftspeople, or Le Journal page",current,2026-08-24,Global; city scope follows source title,visual / English source,Le Labo / official Films page,Supplemental visual evidence for city-lab-signage-poster,Direct official or official parent/editorial asset with verified local hash,First-party copyrighted still; research evidence only.,included,VE-EC-003,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lelabofragrances.com/films/chicago.html
EV-033,Souls & Labs: Mexico City storefront motion poster,https://lelabo.ips.photos/lelabo-java/images/content/1303_SMALL_IMAGE_01_13198_-2111879964.jpg,evidence/visual-expansion/editorial-craft/VE-EC-004-mexico-city-souls-labs.jpg,primary,image_candidate,space-service-and-film,city-lab-exterior-poster,"official Films, Souls & Labs, Craftspeople, or Le Journal page",current,2026-08-24,Global; city scope follows source title,visual / English source,Le Labo / official Films page,Supplemental visual evidence for city-lab-exterior-poster,Direct official or official parent/editorial asset with verified local hash,First-party copyrighted still; research evidence only.,included,VE-EC-004,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lelabofragrances.com/films/mexico-city.html
EV-034,Souls & Labs: Tokyo technician at storefront,https://lelabo.ips.photos/lelabo-java/images/content/1307_SMALL_IMAGE_01_13201_703111243.jpg,evidence/visual-expansion/editorial-craft/VE-EC-005-tokyo-souls-labs.jpg,primary,image_candidate,people-space-and-film,lab-technician-environmental-portrait,"official Films, Souls & Labs, Craftspeople, or Le Journal page",current,2026-08-24,Global; city scope follows source title,visual / English source,Le Labo / official Films page,Supplemental visual evidence for lab-technician-environmental-portrait,Direct official or official parent/editorial asset with verified local hash,First-party copyrighted still; research evidence only.,included,VE-EC-005,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lelabofragrances.com/films/tokyo.html
EV-035,Souls & Labs: New York storefront motion poster,https://lelabo.ips.photos/lelabo-java/images/content/1319_SMALL_IMAGE_01_13210_-369975810.jpg,evidence/visual-expansion/editorial-craft/VE-EC-007-new-york-souls-labs.jpg,primary,image_candidate,brand-mood-and-space,origin-city-street-poster,"official Films, Souls & Labs, Craftspeople, or Le Journal page",current,2026-08-24,Global; city scope follows source title,visual / English source,Le Labo / official Films page,Supplemental visual evidence for origin-city-street-poster,Direct official or official parent/editorial asset with verified local hash,First-party copyrighted still; research evidence only.,included,VE-EC-007,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lelabofragrances.com/films/new-york.html
EV-036,"Bergamot Harvest motion poster, Reggio Calabria",https://lelabo.ips.photos/lelabo-java/images/content/1321_SMALL_IMAGE_01_14157_153555055.jpg,evidence/visual-expansion/editorial-craft/VE-EC-008-bergamot-harvest.jpg,primary,image_candidate,harvest-and-material-world,ingredient-close-up-motion-poster,"official Films, Souls & Labs, Craftspeople, or Le Journal page",current,2026-08-24,Global; city scope follows source title,visual / English source,Le Labo / official Films page,Supplemental visual evidence for ingredient-close-up-motion-poster,Direct official or official parent/editorial asset with verified local hash,First-party copyrighted still; research evidence only.,included,VE-EC-008,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lelabofragrances.com/films/bergamot-harvest.html
EV-037,"Denim Tote craft motion poster, Okayama",https://lelabo.ips.photos/lelabo-java/images/content/1329_SMALL_IMAGE_01_14153_-1606152754.jpg,evidence/visual-expansion/editorial-craft/VE-EC-009-denim-tote-craft.jpg,primary,image_candidate,craft-and-material-world,material-and-print-detail,"official Films, Souls & Labs, Craftspeople, or Le Journal page",current,2026-08-24,Global; city scope follows source title,visual / English source,Le Labo / official Films page,Supplemental visual evidence for material-and-print-detail,Direct official or official parent/editorial asset with verified local hash,First-party copyrighted still; research evidence only.,included,VE-EC-009,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lelabofragrances.com/films/denim-tote.html
EV-038,"Concrete Candle craft motion poster, Charleston",https://lelabo.ips.photos/lelabo-java/images/content/1331_SMALL_IMAGE_01_13224_-353273146.jpg,evidence/visual-expansion/editorial-craft/VE-EC-010-concrete-candle-craft.jpg,primary,image_candidate,craft-and-material-world,handmade-surface-and-label-detail,"official Films, Souls & Labs, Craftspeople, or Le Journal page",current,2026-08-24,Global; city scope follows source title,visual / English source,Le Labo / official Films page,Supplemental visual evidence for handmade-surface-and-label-detail,Direct official or official parent/editorial asset with verified local hash,First-party copyrighted still; research evidence only.,included,VE-EC-010,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lelabofragrances.com/films/concrete-candle.html
EV-039,"Diffuser craft motion poster, Brooklyn",https://lelabo.ips.photos/lelabo-java/images/content/1333_SMALL_IMAGE_01_13226_2138668803.jpg,evidence/visual-expansion/editorial-craft/VE-EC-011-diffuser-craft.jpg,primary,image_candidate,craft-and-people,hands-tools-and-wood-assembly,"official Films, Souls & Labs, Craftspeople, or Le Journal page",current,2026-08-24,Global; city scope follows source title,visual / English source,Le Labo / official Films page,Supplemental visual evidence for hands-tools-and-wood-assembly,Direct official or official parent/editorial asset with verified local hash,First-party copyrighted still; research evidence only.,included,VE-EC-011,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lelabofragrances.com/films/diffuser.html
EV-040,"Le Journal editorial engraving: house, bottle and travel case",https://overheard-le-journal.imgix.net/House-Rules-Apply-1.png,evidence/visual-expansion/editorial-craft/VE-EC-014-le-journal-house-rules.png,primary,image_candidate,editorial-key-visual,black-and-white-engraving-collage,"official Films, Souls & Labs, Craftspeople, or Le Journal page",current,2026-08-24,Global; city scope follows source title,visual / English source,Overheard Le Labo / Le Journal Society,Supplemental visual evidence for black-and-white-engraving-collage,Direct official or official parent/editorial asset with verified local hash,Official editorial copyrighted artwork; research evidence only.,included,VE-EC-014,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lejournalsociety.com/
EV-041,Le Journal editorial engraving: bottle as doorway to the coast,https://overheard-le-journal.imgix.net/Wish-You-Wore-Here-1.png,evidence/visual-expansion/editorial-craft/VE-EC-015-le-journal-wish-you-wore-here.png,primary,image_candidate,editorial-key-visual,surreal-black-and-white-product-metaphor,"official Films, Souls & Labs, Craftspeople, or Le Journal page",current,2026-08-24,Global; city scope follows source title,visual / English source,Overheard Le Labo / Le Journal Society,Supplemental visual evidence for surreal-black-and-white-product-metaphor,Direct official or official parent/editorial asset with verified local hash,Official editorial copyrighted artwork; research evidence only.,included,VE-EC-015,Adds a non-duplicate visual role or state to the Stage 1 corpus,supplemental_visual_expansion; source page: https://www.lejournalsociety.com/
EV-042,User-curated Le Labo mood reference: SANTAL 33 dark material flat lay,urn:user-supplied:kakaotalk:2026-08-31:le-labo-mood-01,evidence/user-provided-mood/EV-LL-MOOD-001-santal33-dark-flatlay.png,contextual,image_candidate,brand-mood-and-world,user-curated-dark-material-flatlay,user-supplied local reference,source date unknown; supplied 2026-08-31,2026-08-31,Not verified,visual / source unknown,User-supplied; original creator unknown,"Dark-ground flat lay connects product, packaging, botanicals, wood, resin, paper, and lab tools as one tactile mood field.","User-provided local file with no embedded authorship or source URL; interpret as a curated mood reference, not official brand evidence.",User-provided reference for internal brand analysis; original rights holder and source URL unverified.,included,EV-043|EV-044,User explicitly requested this file be added to the Stage 1 brand-mood document.,provenance-unverified; observed image content only
EV-043,User-curated Le Labo mood reference: TUBEREUSE 40 light material flat lay,urn:user-supplied:kakaotalk:2026-08-31:le-labo-mood-02,evidence/user-provided-mood/EV-LL-MOOD-002-tubereuse40-light-flatlay.png,contextual,image_candidate,brand-mood-and-world,user-curated-light-material-flatlay,user-supplied local reference,source date unknown; supplied 2026-08-31,2026-08-31,Not verified,visual / source unknown,User-supplied; original creator unknown,"Light-ground flat lay connects fragrance, kraft packaging, petals, citrus, wood, metal, lichen, paper, and lab vessels.","User-provided local file with no embedded authorship or source URL; interpret as a curated mood reference, not official brand evidence.",User-provided reference for internal brand analysis; original rights holder and source URL unverified.,included,EV-042|EV-044,User explicitly requested this file be added to the Stage 1 brand-mood document.,provenance-unverified; observed image content only
EV-044,User-curated Le Labo mood reference: city exclusives and ingredients grid,urn:user-supplied:kakaotalk:2026-08-31:le-labo-mood-03,evidence/user-provided-mood/EV-LL-MOOD-003-city-exclusives-grid.png,contextual,image_candidate,brand-mood-and-world,user-curated-city-exclusives-grid,user-supplied local reference,source date unknown; supplied 2026-08-31,2026-08-31,Not verified,visual / source unknown,User-supplied; original creator unknown,"Six-panel grid repeats bottle, kraft box, ingredient cue, and city label to visualize family consistency with controlled variation.","User-provided local file with no embedded authorship or source URL; interpret as a curated mood reference, not official brand evidence.",User-provided reference for internal brand analysis; original rights holder and source URL unverified.,included,EV-042|EV-043,User explicitly requested this file be added to the Stage 1 brand-mood document.,provenance-unverified; observed image content only
